internal_noise_std,criteria,prob_agree,prob_first
0.0,-5.0,1.0,1.0
0.0,-4.5,1.0,1.0
0.0,-4.0,1.0,0.994
0.0,-3.5,1.0,0.991
0.0,-3.0,1.0,0.985
0.0,-2.5,1.0,0.965
0.0,-2.0,1.0,0.931
0.0,-1.5,1.0,0.851
0.0,-1.0,1.0,0.765
0.0,-0.5,1.0,0.636
0.0,0.0,1.0,0.513
0.0,0.5,1.0,0.361
0.0,1.0,1.0,0.23
0.0,1.5,1.0,0.135
0.0,2.0,1.0,0.073
0.0,2.5,1.0,0.045
0.0,3.0,1.0,0.013
0.0,3.5,1.0,0.012
0.0,4.0,1.0,0.005
0.0,4.5,1.0,0.0
0.1,-5.0,0.999,0.9985
0.1,-4.5,0.999,0.9975
0.1,-4.0,0.999,0.9975
0.1,-3.5,0.999,0.9925
0.1,-3.0,0.998,0.979
0.1,-2.5,0.992,0.963
0.1,-2.0,0.993,0.9075
0.1,-1.5,0.987,0.8485
0.1,-1.0,0.98,0.753
0.1,-0.5,0.972,0.64
0.1,0.0,0.959,0.4745
0.1,0.5,0.966,0.36
0.1,1.0,0.977,0.2495
0.1,1.5,0.984,0.135
0.1,2.0,0.979,0.0795
0.1,2.5,0.993,0.0435
0.1,3.0,0.996,0.013
0.1,3.5,0.998,0.006
0.1,4.0,1.0,0.001
0.1,4.5,1.0,0.0
0.2,-5.0,1.0,1.0
0.2,-4.5,1.0,0.998
0.2,-4.0,0.997,0.9975
0.2,-3.5,0.998,0.993
0.2,-3.0,0.997,0.9835
0.2,-2.5,0.988,0.957
0.2,-2.0,0.978,0.927
0.2,-1.5,0.962,0.851
0.2,-1.0,0.957,0.7725
0.2,-0.5,0.936,0.63
0.2,0.0,0.931,0.5135
0.2,0.5,0.93,0.356
0.2,1.0,0.95,0.246
0.2,1.5,0.956,0.157
0.2,2.0,0.972,0.073
0.2,2.5,0.981,0.0415
0.2,3.0,0.997,0.0215
0.2,3.5,0.997,0.0125
0.2,4.0,0.998,0.003
0.2,4.5,1.0,0.0
0.30000000000000004,-5.0,1.0,1.0
0.30000000000000004,-4.5,1.0,1.0
0.30000000000000004,-4.0,0.998,0.999
0.30000000000000004,-3.5,0.995,0.9925
0.30000000000000004,-3.0,0.985,0.9845
0.30000000000000004,-2.5,0.981,0.9595
0.30000000000000004,-2.0,0.965,0.9275
0.30000000000000004,-1.5,0.954,0.855
0.30000000000000004,-1.0,0.922,0.769
0.30000000000000004,-0.5,0.923,0.6475
0.30000000000000004,0.0,0.913,0.5165
0.30000000000000004,0.5,0.92,0.389
0.30000000000000004,1.0,0.924,0.234
0.30000000000000004,1.5,0.926,0.147
0.30000000000000004,2.0,0.96,0.088
0.30000000000000004,2.5,0.974,0.037
0.30000000000000004,3.0,0.991,0.0135
0.30000000000000004,3.5,0.99,0.012
0.30000000000000004,4.0,0.999,0.0015
0.30000000000000004,4.5,0.999,0.0005
0.4,-5.0,1.0,1.0
0.4,-4.5,1.0,1.0
0.4,-4.0,0.995,0.9955
0.4,-3.5,0.994,0.995
0.4,-3.0,0.988,0.985
0.4,-2.5,0.971,0.9605
0.4,-2.0,0.956,0.917
0.4,-1.5,0.926,0.85
0.4,-1.0,0.907,0.7325
0.4,-0.5,0.88,0.629
0.4,0.0,0.873,0.4945
0.4,0.5,0.883,0.3715
0.4,1.0,0.877,0.2615
0.4,1.5,0.933,0.1415
0.4,2.0,0.94,0.082
0.4,2.5,0.975,0.0445
0.4,3.0,0.984,0.027
0.4,3.5,0.995,0.0145
0.4,4.0,0.997,0.0035
0.4,4.5,0.999,0.0005
0.5,-5.0,1.0,1.0
0.5,-4.5,0.997,0.9975
0.5,-4.0,0.992,0.996
0.5,-3.5,0.992,0.994
0.5,-3.0,0.976,0.971
0.5,-2.5,0.962,0.958
0.5,-2.0,0.952,0.917
0.5,-1.5,0.901,0.8425
0.5,-1.0,0.857,0.7445
0.5,-0.5,0.823,0.6275
0.5,0.0,0.84,0.506
0.5,0.5,0.861,0.3815
0.5,1.0,0.876,0.25
0.5,1.5,0.887,0.1665
0.5,2.0,0.934,0.092
0.5,2.5,0.975,0.0495
0.5,3.0,0.98,0.022
0.5,3.5,0.992,0.01
0.5,4.0,0.998,0.002
0.5,4.5,0.998,0.003
0.6000000000000001,-5.0,0.998,0.999
0.6000000000000001,-4.5,0.995,0.9965
0.6000000000000001,-4.0,0.997,0.9985
0.6000000000000001,-3.5,0.99,0.991
0.6000000000000001,-3.0,0.98,0.979
0.6000000000000001,-2.5,0.943,0.9425
0.6000000000000001,-2.0,0.944,0.908
0.6000000000000001,-1.5,0.894,0.827
0.6000000000000001,-1.0,0.846,0.74
