internal_noise_std,criteria,prob_agree,prob_first
0.0,-5.0,1.0,1.0
0.0,-4.5,1.0,1.0
0.0,-4.0,1.0,1.0
0.0,-3.5,1.0,1.0
0.0,-3.0,1.0,1.0
0.0,-2.5,1.0,0.97
0.0,-2.0,1.0,0.91
0.0,-1.5,1.0,0.79
0.0,-1.0,1.0,0.74
0.0,-0.5,1.0,0.65
0.0,0.0,1.0,0.52
0.0,0.5,1.0,0.44
0.0,1.0,1.0,0.21
0.0,1.5,1.0,0.2
0.0,2.0,1.0,0.08
0.0,2.5,1.0,0.02
0.0,3.0,1.0,0.02
0.0,3.5,1.0,0.03
0.0,4.0,1.0,0.0
0.0,4.5,1.0,0.0
0.1,-5.0,1.0,1.0
0.1,-4.5,1.0,1.0
0.1,-4.0,1.0,1.0
0.1,-3.5,1.0,1.0
0.1,-3.0,1.0,0.96
0.1,-2.5,0.98,0.96
0.1,-2.0,0.99,0.935
0.1,-1.5,1.0,0.82
0.1,-1.0,0.99,0.815
0.1,-0.5,0.99,0.675
0.1,0.0,0.95,0.505
0.1,0.5,0.96,0.44
0.1,1.0,0.97,0.285
0.1,1.5,0.98,0.15
0.1,2.0,1.0,0.1
0.1,2.5,0.99,0.045
0.1,3.0,1.0,0.01
0.1,3.5,1.0,0.02
0.1,4.0,1.0,0.01
0.1,4.5,1.0,0.0
0.2,-5.0,1.0,0.99
0.2,-4.5,1.0,1.0
0.2,-4.0,1.0,1.0
0.2,-3.5,0.99,0.995
0.2,-3.0,0.99,0.985
0.2,-2.5,0.98,0.98
0.2,-2.0,1.0,0.93
0.2,-1.5,0.95,0.875
0.2,-1.0,0.98,0.76
0.2,-0.5,0.93,0.595
0.2,0.0,0.93,0.545
0.2,0.5,0.97,0.415
0.2,1.0,0.95,0.365
0.2,1.5,0.97,0.155
0.2,2.0,0.99,0.105
0.2,2.5,1.0,0.03
0.2,3.0,1.0,0.02
0.2,3.5,1.0,0.0
0.2,4.0,1.0,0.0
0.2,4.5,1.0,0.0
0.30000000000000004,-5.0,1.0,1.0
0.30000000000000004,-4.5,1.0,1.0
0.30000000000000004,-4.0,1.0,1.0
0.30000000000000004,-3.5,1.0,0.99
0.30000000000000004,-3.0,1.0,1.0
0.30000000000000004,-2.5,0.95,0.895
0.30000000000000004,-2.0,0.96,0.88
0.30000000000000004,-1.5,0.97,0.855
0.30000000000000004,-1.0,0.87,0.805
0.30000000000000004,-0.5,0.86,0.62
0.30000000000000004,0.0,0.87,0.515
0.30000000000000004,0.5,0.91,0.325
0.30000000000000004,1.0,0.89,0.235
0.30000000000000004,1.5,0.94,0.14
0.30000000000000004,2.0,0.95,0.105
0.30000000000000004,2.5,0.99,0.025
0.30000000000000004,3.0,0.98,0.01
0.30000000000000004,3.5,1.0,0.01
0.30000000000000004,4.0,0.99,0.005
0.30000000000000004,4.5,1.0,0.0
0.4,-5.0,1.0,1.0
0.4,-4.5,1.0,1.0
0.4,-4.0,0.99,0.995
0.4,-3.5,0.99,0.975
0.4,-3.0,0.99,0.975
0.4,-2.5,0.95,0.925
0.4,-2.0,0.91,0.905
0.4,-1.5,0.93,0.875
0.4,-1.0,0.84,0.68
0.4,-0.5,0.9,0.66
0.4,0.0,0.89,0.485
0.4,0.5,0.87,0.465
0.4,1.0,0.85,0.195
0.4,1.5,0.97,0.135
0.4,2.0,0.96,0.05
0.4,2.5,1.0,0.02
0.4,3.0,0.99,0.005
0.4,3.5,0.99,0.015
0.4,4.0,1.0,0.0
0.4,4.5,1.0,0.0
0.5,-5.0,1.0,1.0
0.5,-4.5,1.0,1.0
0.5,-4.0,1.0,1.0
0.5,-3.5,0.98,0.99
0.5,-3.0,1.0,0.99
0.5,-2.5,0.97,0.935
0.5,-2.0,0.97,0.935
0.5,-1.5,0.94,0.84
0.5,-1.0,0.88,0.8
0.5,-0.5,0.92,0.6
0.5,0.0,0.81,0.505
0.5,0.5,0.86,0.29
0.5,1.0,0.88,0.18
0.5,1.5,0.9,0.18
0.5,2.0,0.98,0.09
0.5,2.5,0.97,0.025
0.5,3.0,0.95,0.025
0.5,3.5,0.99,0.015
0.5,4.0,1.0,0.01
0.5,4.5,1.0,0.0
0.6000000000000001,-5.0,0.99,0.995
0.6000000000000001,-4.5,1.0,1.0
0.6000000000000001,-4.0,0.98,0.99
0.6000000000000001,-3.5,0.98,0.98
0.6000000000000001,-3.0,0.97,0.975
0.6000000000000001,-2.5,0.98,0.94
0.6000000000000001,-2.0,0.93,0.925
0.6000000000000001,-1.5,0.92,0.91
0.6000000000000001,-1.0,0.89,0.795
0.6000000000000001,-0.5,0.81,0.605
0.6000000000000001,0.0,0.79,0.515
