internal_noise_std,criteria,prob_agree,prob_first
0.0,-5.0,1.0,1.0
0.0,-4.5,1.0,0.998
0.0,-4.0,1.0,0.998
0.0,-3.5,1.0,0.994
0.0,-3.0,1.0,0.986
0.0,-2.5,1.0,0.966
0.0,-2.0,1.0,0.904
0.0,-1.5,1.0,0.85
0.0,-1.0,1.0,0.762
0.0,-0.5,1.0,0.634
0.0,0.0,1.0,0.488
0.0,0.5,1.0,0.34
0.0,1.0,1.0,0.25
0.0,1.5,1.0,0.122
0.0,2.0,1.0,0.07
0.0,2.5,1.0,0.032
0.0,3.0,1.0,0.024
0.0,3.5,1.0,0.008
0.0,4.0,1.0,0.002
0.0,4.5,1.0,0.0
0.1,-5.0,1.0,1.0
0.1,-4.5,1.0,0.998
0.1,-4.0,0.998,0.997
0.1,-3.5,0.994,0.995
0.1,-3.0,0.998,0.977
0.1,-2.5,0.994,0.959
0.1,-2.0,0.994,0.949
0.1,-1.5,0.99,0.861
0.1,-1.0,0.98,0.738
0.1,-0.5,0.968,0.646
0.1,0.0,0.968,0.522
0.1,0.5,0.964,0.39
0.1,1.0,0.976,0.228
0.1,1.5,0.986,0.139
0.1,2.0,0.984,0.06
0.1,2.5,0.994,0.041
0.1,3.0,0.994,0.013
0.1,3.5,0.998,0.009
0.1,4.0,1.0,0.004
0.1,4.5,1.0,0.002
0.2,-5.0,1.0,1.0
0.2,-4.5,1.0,0.998
0.2,-4.0,1.0,0.996
0.2,-3.5,1.0,0.998
0.2,-3.0,1.0,0.988
0.2,-2.5,0.982,0.965
0.2,-2.0,0.964,0.93
0.2,-1.5,0.962,0.851
0.2,-1.0,0.964,0.796
0.2,-0.5,0.95,0.617
0.2,0.0,0.938,0.479
0.2,0.5,0.95,0.357
0.2,1.0,0.946,0.229
0.2,1.5,0.976,0.142
0.2,2.0,0.99,0.081
0.2,2.5,0.984,0.038
0.2,3.0,0.998,0.017
0.2,3.5,1.0,0.006
0.2,4.0,0.996,0.002
0.2,4.5,0.998,0.005
0.30000000000000004,-5.0,1.0,1.0
0.30000000000000004,-4.5,0.996,0.998
0.30000000000000004,-4.0,0.998,0.997
0.30000000000000004,-3.5,0.998,0.993
0.30000000000000004,-3.0,0.99,0.981
0.30000000000000004,-2.5,0.968,0.962
0.30000000000000004,-2.0,0.966,0.919
0.30000000000000004,-1.5,0.964,0.858
0.30000000000000004,-1.0,0.94,0.788
0.30000000000000004,-0.5,0.924,0.63
0.30000000000000004,0.0,0.886,0.475
0.30000000000000004,0.5,0.908,0.362
0.30000000000000004,1.0,0.93,0.233
0.30000000000000004,1.5,0.954,0.149
0.30000000000000004,2.0,0.964,0.084
0.30000000000000004,2.5,0.97,0.057
0.30000000000000004,3.0,0.988,0.014
0.30000000000000004,3.5,0.992,0.006
0.30000000000000004,4.0,0.998,0.003
0.30000000000000004,4.5,0.998,0.001
0.4,-5.0,1.0,1.0
0.4,-4.5,0.996,0.998
0.4,-4.0,1.0,1.0
0.4,-3.5,0.994,0.991
0.4,-3.0,0.986,0.983
0.4,-2.5,0.958,0.941
0.4,-2.0,0.944,0.896
0.4,-1.5,0.932,0.83
0.4,-1.0,0.906,0.751
0.4,-0.5,0.874,0.641
0.4,0.0,0.87,0.523
0.4,0.5,0.904,0.366
0.4,1.0,0.904,0.268
0.4,1.5,0.918,0.163
0.4,2.0,0.966,0.099
0.4,2.5,0.978,0.043
0.4,3.0,0.978,0.025
0.4,3.5,0.996,0.014
0.4,4.0,0.998,0.005
0.4,4.5,1.0,0.0
0.5,-5.0,0.998,0.999
0.5,-4.5,0.994,0.997
0.5,-4.0,0.996,0.998
0.5,-3.5,0.986,0.987
0.5,-3.0,0.974,0.983
0.5,-2.5,0.968,0.946
0.5,-2.0,0.942,0.915
0.5,-1.5,0.912,0.818
0.5,-1.0,0.868,0.702
0.5,-0.5,0.844,0.634
0.5,0.0,0.842,0.521
0.5,0.5,0.842,0.373
0.5,1.0,0.89,0.231
0.5,1.5,0.864,0.176
0.5,2.0,0.952,0.096
0.5,2.5,0.942,0.061
0.5,3.0,0.986,0.021
0.5,3.5,0.986,0.009
0.5,4.0,0.996,0.002
0.5,4.5,0.998,0.001
0.6000000000000001,-5.0,0.998,0.997
0.6000000000000001,-4.5,0.998,0.999
0.6000000000000001,-4.0,0.996,0.996
0.6000000000000001,-3.5,0.986,0.991
0.6000000000000001,-3.0,0.968,0.978
0.6000000000000001,-2.5,0.952,0.952
0.6000000000000001,-2.0,0.94,0.892
0.6000000000000001,-1.5,0.886,0.833
0.6000000000000001,-1.0,0.85,0.739
0.6000000000000001,-0.5,0.848,0.64
0.6000000000000001,0.0,0.79,0.507
0.6000000000000001,0.5,0.846,0.369
0.6000000000000001,1.0,0.874,0.255
0.6000000000000001,1.5,0.89,0.185
0.6000000000000001,2.0,0.94,0.1
0.6000000000000001,2.5,0.972,0.034
0.6000000000000001,3.0,0.982,0.023
0.6000000000000001,3.5,0.994,0.009
0.6000000000000001,4.0,0.994,0.003
0.6000000000000001,4.5,1.0,0.0
0.7000000000000001,-5.0,1.0,1.0
0.7000000000000001,-4.5,0.998,0.993
0.7000000000000001,-4.0,0.986,0.991
0.7000000000000001,-3.5,0.984,0.982
0.7000000000000001,-3.0,0.974,0.977
0.7000000000000001,-2.5,0.93,0.935
0.7000000000000001,-2.0,0.898,0.901
0.7000000000000001,-1.5,0.872,0.824
0.7000000000000001,-1.0,0.816,0.744
0.7000000000000001,-0.5,0.776,0.604
0.7000000000000001,0.0,0.77,0.463
0.7000000000000001,0.5,0.822,0.349
0.7000000000000001,1.0,0.826,0.257
0.7000000000000001,1.5,0.874,0.183
0.7000000000000001,2.0,0.904,0.096
0.7000000000000001,2.5,0.942,0.049
0.7000000000000001,3.0,0.96,0.028
0.7000000000000001,3.5,0.992,0.01
0.7000000000000001,4.0,0.99,0.007
0.7000000000000001,4.5,0.996,0.002
0.8,-5.0,0.998,0.999
0.8,-4.5,0.996,0.994
0.8,-4.0,0.992,0.996
0.8,-3.5,0.986,0.987
0.8,-3.0,0.956,0.954
0.8,-2.5,0.936,0.934
0.8,-2.0,0.924,0.898
0.8,-1.5,0.854,0.843
0.8,-1.0,0.808,0.748
0.8,-0.5,0.782,0.601
0.8,0.0,0.792,0.502
0.8,0.5,0.78,0.372
0.8,1.0,0.824,0.24
0.8,1.5,0.848,0.172
0.8,2.0,0.878,0.113
0.8,2.5,0.942,0.045
0.8,3.0,0.958,0.031
0.8,3.5,0.978,0.015
0.8,4.0,0.986,0.011
0.8,4.5,0.994,0.003
0.9,-5.0,1.0,1.0
0.9,-4.5,0.994,0.997
0.9,-4.0,0.986,0.989
0.9,-3.5,0.974,0.987
0.9,-3.0,0.936,0.944
0.9,-2.5,0.954,0.949
0.9,-2.0,0.894,0.895
0.9,-1.5,0.832,0.808
0.9,-1.0,0.802,0.723
0.9,-0.5,0.776,0.64
0.9,0.0,0.744,0.532
0.9,0.5,0.75,0.393
0.9,1.0,0.792,0.254
0.9,1.5,0.848,0.186
0.9,2.0,0.858,0.119
0.9,2.5,0.902,0.093
0.9,3.0,0.94,0.036
0.9,3.5,0.976,0.02
0.9,4.0,0.988,0.006
0.9,4.5,0.996,0.004
1.0,-5.0,0.99,0.995
1.0,-4.5,0.996,0.998
1.0,-4.0,0.974,0.987
1.0,-3.5,0.962,0.965
1.0,-3.0,0.944,0.962
1.0,-2.5,0.906,0.925
1.0,-2.0,0.864,0.882
1.0,-1.5,0.808,0.794
1.0,-1.0,0.794,0.737
1.0,-0.5,0.718,0.601
1.0,0.0,0.74,0.508
1.0,0.5,0.764,0.386
1.0,1.0,0.782,0.321
1.0,1.5,0.8,0.21
1.0,2.0,0.906,0.107
1.0,2.5,0.918,0.067
1.0,3.0,0.942,0.041
1.0,3.5,0.964,0.022
1.0,4.0,0.984,0.008
1.0,4.5,0.994,0.003
1.1,-5.0,0.996,0.996
1.1,-4.5,0.984,0.99
1.1,-4.0,0.97,0.979
1.1,-3.5,0.96,0.976
1.1,-3.0,0.928,0.942
1.1,-2.5,0.906,0.923
1.1,-2.0,0.87,0.881
1.1,-1.5,0.8,0.796
1.1,-1.0,0.778,0.719
1.1,-0.5,0.73,0.617
1.1,0.0,0.728,0.492
1.1,0.5,0.684,0.38
1.1,1.0,0.784,0.28
1.1,1.5,0.792,0.228
1.1,2.0,0.876,0.112
1.1,2.5,0.902,0.071
1.1,3.0,0.924,0.07
1.1,3.5,0.958,0.037
1.1,4.0,0.98,0.01
1.1,4.5,0.99,0.007
1.2000000000000002,-5.0,0.988,0.992
1.2000000000000002,-4.5,0.986,0.993
1.2000000000000002,-4.0,0.976,0.984
1.2000000000000002,-3.5,0.96,0.974
1.2000000000000002,-3.0,0.926,0.951
1.2000000000000002,-2.5,0.884,0.908
1.2000000000000002,-2.0,0.824,0.856
1.2000000000000002,-1.5,0.812,0.818
1.2000000000000002,-1.0,0.764,0.718
1.2000000000000002,-0.5,0.706,0.603
1.2000000000000002,0.0,0.698,0.513
1.2000000000000002,0.5,0.736,0.368
1.2000000000000002,1.0,0.76,0.318
1.2000000000000002,1.5,0.802,0.211
1.2000000000000002,2.0,0.846,0.147
1.2000000000000002,2.5,0.856,0.102
1.2000000000000002,3.0,0.916,0.062
1.2000000000000002,3.5,0.968,0.022
1.2000000000000002,4.0,0.982,0.011
1.2000000000000002,4.5,0.99,0.007
1.3,-5.0,0.998,0.999
1.3,-4.5,0.978,0.989
1.3,-4.0,0.972,0.984
1.3,-3.5,0.946,0.955
1.3,-3.0,0.908,0.926
1.3,-2.5,0.864,0.902
1.3,-2.0,0.842,0.867
1.3,-1.5,0.756,0.756
1.3,-1.0,0.73,0.697
1.3,-0.5,0.708,0.596
1.3,0.0,0.68,0.486
1.3,0.5,0.674,0.393
1.3,1.0,0.714,0.289
1.3,1.5,0.768,0.23
1.3,2.0,0.854,0.141
1.3,2.5,0.878,0.095
1.3,3.0,0.906,0.063
1.3,3.5,0.954,0.027
1.3,4.0,0.966,0.023
1.3,4.5,0.982,0.011
1.4000000000000001,-5.0,0.994,0.995
1.4000000000000001,-4.5,0.986,0.987
1.4000000000000001,-4.0,0.962,0.977
1.4000000000000001,-3.5,0.948,0.966
1.4000000000000001,-3.0,0.892,0.924
1.4000000000000001,-2.5,0.866,0.895
1.4000000000000001,-2.0,0.858,0.869
1.4000000000000001,-1.5,0.802,0.793
1.4000000000000001,-1.0,0.704,0.704
1.4000000000000001,-0.5,0.684,0.586
1.4000000000000001,0.0,0.66,0.478
1.4000000000000001,0.5,0.654,0.423
1.4000000000000001,1.0,0.7,0.312
1.4000000000000001,1.5,0.728,0.228
1.4000000000000001,2.0,0.778,0.155
1.4000000000000001,2.5,0.862,0.109
