participant,block,trial,resp,RT,f,eq
LN,1,3,0,0.128,373.51943078,-1.82286589
LN,1,3,0,0.128,537.98067721,0.73405543
LN,1,3,0,0.128,727.63709087,8.25744484
LN,1,3,0,0.128,946.34852608,-0.68328521
LN,1,3,0,0.128,1198.56615988,-0.52696564
LN,1,3,0,0.128,1489.42308164,6.72915106
LN,1,3,0,0.128,1824.83876082,-1.98609933
LN,1,3,0,0.128,2211.63951892,3.89925835
LN,1,3,0,0.128,2657.69745762,8.06560189
LN,1,3,0,0.128,3172.09067045,5.89998648
LN,1,3,0,0.128,3765.28799853,-6.60746678
LN,1,3,0,0.128,4449.36209061,2.63756767
LN,1,3,0,0.128,5238.23510351,4.65547359
LN,1,3,0,0.128,6147.96204348,-2.1760437
LN,1,3,0,0.128,7197.05751481,6.36862994
LN,1,3,0,0.128,8406.87252591,-4.02297826
LN,1,3,0,0.128,9802.02902128,9.39414968
LN,1,3,0,0.128,11410.92098301,-9.6947348
LN,1,3,0,0.128,13266.29230024,7.46631924
LN,1,3,0,0.128,15405.90316702,-4.28908709
LN,1,3,0,0.128,17873.29857123,-3.52047577
LN,1,3,0,0.128,20718.69451459,1.93197849
LN,1,3,0,0.128,24000,-10.79223402
LN,1,3,1,0.128,0,-5.94124265
LN,1,3,1,0.128,107.23874129,6.09466208
LN,1,3,1,0.128,230.90626491,-1.30837676
LN,1,3,1,0.128,373.51943078,-2.62087291
LN,1,3,1,0.128,537.98067721,-0.72825636
LN,1,3,1,0.128,727.63709087,2.27883446
LN,1,3,1,0.128,946.34852608,-7.21500756
LN,1,3,1,0.128,1198.56615988,5.3029819
LN,1,3,1,0.128,1489.42308164,7.27081877
LN,1,3,1,0.128,1824.83876082,1.07428504
LN,1,3,1,0.128,2211.63951892,-7.367384
LN,1,3,1,0.128,2657.69745762,0.88609472
LN,1,3,1,0.128,3172.09067045,8.82533366
LN,1,3,1,0.128,3765.28799853,-0.78255455
LN,1,3,1,0.128,4449.36209061,-3.98013136
LN,1,3,1,0.128,5238.23510351,10.72852375
LN,1,3,1,0.128,6147.96204348,2.3912617
LN,1,3,1,0.128,7197.05751481,5.00237242
LN,1,3,1,0.128,8406.87252591,9.47288224
LN,1,3,1,0.128,9802.02902128,-0.48397206
LN,1,3,1,0.128,11410.92098301,7.07209867
LN,1,3,1,0.128,13266.29230024,-0.65911954
LN,1,3,1,0.128,15405.90316702,5.16940718
LN,1,3,1,0.128,17873.29857123,0.46897822
LN,1,3,1,0.128,20718.69451459,0.9573666
LN,1,3,1,0.128,24000,5.15019207
LN,1,4,0,0.359,0,6.63330598
LN,1,4,0,0.359,107.23874129,-0.46371407
LN,1,4,0,0.359,230.90626491,2.50439195
LN,1,4,0,0.359,373.51943078,-6.01723027
LN,1,4,0,0.359,537.98067721,5.88295622
LN,1,4,0,0.359,727.63709087,10.9901349
LN,1,4,0,0.359,946.34852608,4.09077551
LN,1,4,0,0.359,1198.56615988,-1.60860327
LN,1,4,0,0.359,1489.42308164,2.20931773
LN,1,4,0,0.359,1824.83876082,-3.00497201
LN,1,4,0,0.359,2211.63951892,6.57652511
LN,1,4,0,0.359,2657.69745762,0.19223131
LN,1,4,0,0.359,3172.09067045,-12.40054384
LN,1,4,0,0.359,3765.28799853,2.80857778
LN,1,4,0,0.359,4449.36209061,1.59506218
LN,1,4,0,0.359,5238.23510351,-4.82570315
LN,1,4,0,0.359,6147.96204348,1.88245501
LN,1,4,0,0.359,7197.05751481,0.12993266
LN,1,4,0,0.359,8406.87252591,0.96912542
LN,1,4,0,0.359,9802.02902128,-5.45441646
LN,1,4,0,0.359,11410.92098301,5.15977375
LN,1,4,0,0.359,13266.29230024,-2.17578626
LN,1,4,0,0.359,15405.90316702,-4.10826289
LN,1,4,0,0.359,17873.29857123,2.05913179
LN,1,4,0,0.359,20718.69451459,-0.11780592
LN,1,4,0,0.359,24000,-5.28009139
LN,1,4,1,0.359,0,1.69309068
LN,1,4,1,0.359,107.23874129,-2.94778495
LN,1,4,1,0.359,230.90626491,-5.20339889
LN,1,4,1,0.359,373.51943078,4.58961111
LN,1,4,1,0.359,537.98067721,-1.89754902
LN,1,4,1,0.359,727.63709087,-1.89486922
LN,1,4,1,0.359,946.34852608,-1.01159748
LN,1,4,1,0.359,1198.56615988,5.38512104
LN,1,4,1,0.359,1489.42308164,2.4970136
LN,1,4,1,0.359,1824.83876082,-0.14630058
LN,1,4,1,0.359,2211.63951892,6.39751925
LN,1,4,1,0.359,2657.69745762,1.35035902
LN,1,4,1,0.359,3172.09067045,0.80057883
LN,1,4,1,0.359,3765.28799853,-9.12110892
LN,1,4,1,0.359,4449.36209061,1.70774652
LN,1,4,1,0.359,5238.23510351,-0.52128758
LN,1,4,1,0.359,6147.96204348,-0.02779695
LN,1,4,1,0.359,7197.05751481,1.8260396
LN,1,4,1,0.359,8406.87252591,-6.70338394
LN,1,4,1,0.359,9802.02902128,3.14844273
LN,1,4,1,0.359,11410.92098301,5.92961663
LN,1,4,1,0.359,13266.29230024,1.72733047
LN,1,4,1,0.359,15405.90316702,-5.00501101
LN,1,4,1,0.359,17873.29857123,-2.12360445
LN,1,4,1,0.359,20718.69451459,2.66096297
LN,1,4,1,0.359,24000,4.88337812
LN,1,5,0,0.233,0,0.1999813
LN,1,5,0,0.233,107.23874129,6.39815573
LN,1,5,0,0.233,230.90626491,0.32760521
LN,1,5,0,0.233,373.51943078,-0.53901386
LN,1,5,0,0.233,537.98067721,1.59695218
LN,1,5,0,0.233,727.63709087,2.64371336
LN,1,5,0,0.233,946.34852608,6.84667854
LN,1,5,0,0.233,1198.56615988,-3.20030298
LN,1,5,0,0.233,1489.42308164,-2.9725247
LN,1,5,0,0.233,1824.83876082,-2.66322682
LN,1,5,0,0.233,2211.63951892,-7.7341192
LN,1,5,0,0.233,2657.69745762,-4.5584793
LN,1,5,0,0.233,3172.09067045,4.80673975
LN,1,5,0,0.233,3765.28799853,-1.16330064
LN,1,5,0,0.233,4449.36209061,1.59343017
LN,1,5,0,0.233,5238.23510351,4.98855298
LN,1,5,0,0.233,6147.96204348,2.32259615
LN,1,5,0,0.233,7197.05751481,7.09488551
LN,1,5,0,0.233,8406.87252591,-2.83158688
LN,1,5,0,0.233,9802.02902128,2.44143979
LN,1,5,0,0.233,11410.92098301,1.55635505
LN,1,5,0,0.233,13266.29230024,7.97159533
LN,1,5,0,0.233,15405.90316702,-5.04411648
LN,1,5,0,0.233,17873.29857123,1.2837375
LN,1,5,0,0.233,20718.69451459,2.6585685
LN,1,5,0,0.233,24000,0.19075741
LN,1,5,1,0.233,0,4.7701492
LN,1,5,1,0.233,107.23874129,-2.23197947
LN,1,5,1,0.233,230.90626491,5.50223266
LN,1,5,1,0.233,373.51943078,5.36978583
LN,1,5,1,0.233,537.98067721,-5.53178502
LN,1,5,1,0.233,727.63709087,4.81247425
LN,1,5,1,0.233,946.34852608,-1.59626877
LN,1,5,1,0.233,1198.56615988,-4.95836932
LN,1,5,1,0.233,1489.42308164,-9.79374498
LN,1,5,1,0.233,1824.83876082,-3.42652481
LN,1,5,1,0.233,2211.63951892,-4.29431362
LN,1,5,1,0.233,2657.69745762,2.99312288
LN,1,5,1,0.233,3172.09067045,4.34695651
LN,1,5,1,0.233,3765.28799853,4.76405802
LN,1,5,1,0.233,4449.36209061,-2.40423556
LN,1,5,1,0.233,5238.23510351,-1.039228
LN,1,5,1,0.233,6147.96204348,-3.64989777
LN,1,5,1,0.233,7197.05751481,2.95884601
LN,1,5,1,0.233,8406.87252591,-0.39238273
LN,1,5,1,0.233,9802.02902128,-2.44015595
LN,1,5,1,0.233,11410.92098301,-5.04246166
LN,1,5,1,0.233,13266.29230024,8.37572571
LN,1,5,1,0.233,15405.90316702,6.03877174
LN,1,5,1,0.233,17873.29857123,1.88158074
LN,1,5,1,0.233,20718.69451459,5.26955672
LN,1,5,1,0.233,24000,1.89091242
LN,1,6,0,0.284,0,-6.30095871
LN,1,6,0,0.284,107.23874129,-0.76439002
LN,1,6,0,0.284,230.90626491,-1.10712553
LN,1,6,0,0.284,373.51943078,-2.91275657
LN,1,6,0,0.284,537.98067721,-4.42421286
LN,1,6,0,0.284,727.63709087,6.37624201
LN,1,6,0,0.284,946.34852608,1.60930524
LN,1,6,0,0.284,1198.56615988,2.27294659
LN,1,6,0,0.284,1489.42308164,-5.34221398
LN,1,6,0,0.284,1824.83876082,-0.68412222
LN,1,6,0,0.284,2211.63951892,-3.46383857
LN,1,6,0,0.284,2657.69745762,-3.18556011
LN,1,6,0,0.284,3172.09067045,-6.46884784
LN,1,6,0,0.284,3765.28799853,10.0716094
LN,1,6,0,0.284,4449.36209061,3.45206439
LN,1,6,0,0.284,5238.23510351,-0.47415673
LN,1,6,0,0.284,6147.96204348,7.07200878
LN,1,6,0,0.284,7197.05751481,1.03429128
LN,1,6,0,0.284,8406.87252591,-2.89301345
LN,1,6,0,0.284,9802.02902128,4.35426333
LN,1,6,0,0.284,11410.92098301,2.01785401
LN,1,6,0,0.284,13266.29230024,-6.24340202
LN,1,6,0,0.284,15405.90316702,0.42052124
LN,1,6,0,0.284,17873.29857123,5.983218
LN,1,6,0,0.284,20718.69451459,-2.43109658
LN,1,6,0,0.284,24000,-1.85256838
LN,1,6,1,0.284,0,-0.72298524
LN,1,6,1,0.284,107.23874129,6.28404602
LN,1,6,1,0.284,230.90626491,-1.57904308
LN,1,6,1,0.284,373.51943078,1.74173963
LN,1,6,1,0.284,537.98067721,4.90735338
LN,1,6,1,0.284,727.63709087,-1.34723926
LN,1,6,1,0.284,946.34852608,-6.81769758
LN,1,6,1,0.284,1198.56615988,6.8049183
LN,1,6,1,0.284,1489.42308164,-1.96453505
LN,1,6,1,0.284,1824.83876082,-5.4597656
LN,1,6,1,0.284,2211.63951892,5.27305388
LN,1,6,1,0.284,2657.69745762,4.35290329
LN,1,6,1,0.284,3172.09067045,-9.40105039
LN,1,6,1,0.284,3765.28799853,-5.17128075
LN,1,6,1,0.284,4449.36209061,-4.41173556
LN,1,6,1,0.284,5238.23510351,4.99983636
LN,1,6,1,0.284,6147.96204348,-4.70672096
LN,1,6,1,0.284,7197.05751481,-1.32097189
LN,1,6,1,0.284,8406.87252591,-4.65950545
LN,1,6,1,0.284,9802.02902128,4.08351799
LN,1,6,1,0.284,11410.92098301,-4.98017428
LN,1,6,1,0.284,13266.29230024,0.19505968
LN,1,6,1,0.284,15405.90316702,7.02895641
LN,1,6,1,0.284,17873.29857123,3.7011354
LN,1,6,1,0.284,20718.69451459,-7.30529337
LN,1,6,1,0.284,24000,0.83566003
LN,1,7,1,0.225,0,8.15838207
LN,1,7,1,0.225,107.23874129,-9.08519274
LN,1,7,1,0.225,230.90626491,5.37294571
LN,1,7,1,0.225,373.51943078,3.84797181
LN,1,7,1,0.225,537.98067721,4.4612472
LN,1,7,1,0.225,727.63709087,3.44725126
LN,1,7,1,0.225,946.34852608,-2.46636496
LN,1,7,1,0.225,1198.56615988,-2.70417112
LN,1,7,1,0.225,1489.42308164,5.11449651
LN,1,7,1,0.225,1824.83876082,-4.41822177
LN,1,7,1,0.225,2211.63951892,3.18422819
LN,1,7,1,0.225,2657.69745762,10.25077491
LN,1,7,1,0.225,3172.09067045,-9.37959038
LN,1,7,1,0.225,3765.28799853,7.17908279
LN,1,7,1,0.225,4449.36209061,-0.72813588
LN,1,7,1,0.225,5238.23510351,-8.18628503
LN,1,7,1,0.225,6147.96204348,-2.28655705
LN,1,7,1,0.225,7197.05751481,10.83164428
LN,1,7,1,0.225,8406.87252591,-7.47489274
LN,1,7,1,0.225,9802.02902128,-4.14276283
LN,1,7,1,0.225,11410.92098301,-0.12946123
LN,1,7,1,0.225,13266.29230024,-3.42943552
LN,1,7,1,0.225,15405.90316702,-2.844136
LN,1,7,1,0.225,17873.29857123,1.06644155
LN,1,7,1,0.225,20718.69451459,2.23850622
LN,1,7,1,0.225,24000,8.15044223
