subj,patient,date,session,part,trial,stim,stim_order,segment,segment_time,pitch,response,rt
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,0,0,-66.571126,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,1,1,-19.892326,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,2,2,-44.87322,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,3,3,101.85075,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,4,4,27.830103,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,5,5,-32.661151,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_0,0,6,6,-19.357034,True,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,0,0,-2.85091,False,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,1,1,79.833712,False,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,2,2,37.571601,False,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,3,3,47.932028,False,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,4,4,-57.55673,False,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,5,5,33.115001,False,2.434
14,0,13-May-2018,1,1,1,Sub14_Trial1_1,1,6,6,-114.289047,False,2.434
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,0,0,-97.79033,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,1,1,-109.963777,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,2,2,14.025301,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,3,3,7.765322,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,4,4,195.905508,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,5,5,43.932649,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_0,0,6,6,68.159498,True,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,0,0,-43.217053,False,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,1,1,-116.417735,False,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,2,2,60.992614,False,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,3,3,188.142142,False,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,4,4,66.669502,False,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,5,5,95.794399,False,1.131
14,0,13-May-2018,1,1,2,Sub14_Trial2_1,1,6,6,-0.092437,False,1.131
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,0,0,35.180265,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,1,1,91.935683,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,2,2,-98.68977,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,3,3,35.714413,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,4,4,-6.986334,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,5,5,-47.602663,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_0,0,6,6,28.660923,False,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,0,0,30.34519,True,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,1,1,-41.98334,True,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,2,2,-13.510307,True,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,3,3,53.063563,True,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,4,4,-167.59719,True,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,5,5,-87.704462,True,1.776
14,0,13-May-2018,1,1,3,Sub14_Trial3_1,1,6,6,-125.684533,True,1.776
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,0,0,10.324655,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,1,1,52.212248,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,2,2,41.283651,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,3,3,84.251017,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,4,4,8.401706,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,5,5,-128.095018,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_0,0,6,6,-65.742335,True,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,0,0,-138.851958,False,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,1,1,53.456122,False,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,2,2,-0.653443,False,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,3,3,-91.830733,False,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,4,4,58.605834,False,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,5,5,48.575292,False,0.919
14,0,13-May-2018,1,1,4,Sub14_Trial4_1,1,6,6,-156.420307,False,0.919
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,0,0,-50.683951,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,1,1,-133.689175,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,2,2,80.196176,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,3,3,24.937271,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,4,4,93.145611,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,5,5,-152.884681,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_0,0,6,6,74.900525,True,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,0,0,-44.134514,False,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,1,1,7.914753,False,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,2,2,-22.240191,False,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,3,3,-66.420851,False,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,4,4,-129.480266,False,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,5,5,-53.704074,False,1.42
14,0,13-May-2018,1,1,5,Sub14_Trial5_1,1,6,6,-19.076834,False,1.42
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,0,0,-41.257005,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,1,1,-11.708045,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,2,2,87.857554,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,3,3,-151.805979,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,4,4,-14.759838,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,5,5,-6.771602,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_0,0,6,6,-34.689976,True,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,0,0,13.98054,False,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,1,1,-99.031524,False,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,2,2,-172.356412,False,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,3,3,43.758127,False,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,4,4,-6.861259,False,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,5,5,-168.013222,False,1.143
14,0,13-May-2018,1,1,6,Sub14_Trial6_1,1,6,6,80.633763,False,1.143
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,0,0,-91.057264,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,1,1,-84.338812,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,2,2,18.270751,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,3,3,38.196525,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,4,4,-30.009088,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,5,5,25.1542,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_0,0,6,6,75.372373,True,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,0,0,34.094975,False,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,1,1,75.243308,False,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,2,2,51.890065,False,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,3,3,-55.395962,False,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,4,4,83.345121,False,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,5,5,1.870627,False,0.946
14,0,13-May-2018,1,1,7,Sub14_Trial7_1,1,6,6,127.568555,False,0.946
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,0,0,-94.336712,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,1,1,6.114133,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,2,2,114.885298,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,3,3,9.928357,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,4,4,68.159666,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,5,5,-75.857353,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_0,0,6,6,-26.341005,True,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,0,0,104.269024,False,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,1,1,37.4596,False,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,2,2,0.202052,False,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,3,3,7.193759,False,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,4,4,183.109354,False,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,5,5,97.513818,False,2.223
14,0,13-May-2018,1,1,8,Sub14_Trial8_1,1,6,6,-122.19954,False,2.223
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,0,0,88.206354,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,1,1,-80.841667,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,2,2,72.789916,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,3,3,-83.316172,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,4,4,65.424885,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,5,5,-115.503031,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_0,0,6,6,3.931824,False,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,0,0,32.615117,True,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,1,1,-3.612851,True,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,2,2,44.64339,True,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,3,3,-55.515229,True,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,4,4,-68.562083,True,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,5,5,194.459232,True,0.716
14,0,13-May-2018,1,1,9,Sub14_Trial9_1,1,6,6,-122.963622,True,0.716
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,0,0,-109.581608,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,1,1,13.835275,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,2,2,38.059663,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,3,3,39.067075,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,4,4,-127.405902,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,5,5,-8.506107,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_0,0,6,6,82.985506,True,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,0,0,3.101792,False,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,1,1,-0.217917,False,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,2,2,-23.699473,False,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,3,3,34.699186,False,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,4,4,-85.22986,False,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,5,5,-59.759973,False,0.832
14,0,13-May-2018,1,1,10,Sub14_Trial10_1,1,6,6,124.168321,False,0.832
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,0,0,-21.716609,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,1,1,-38.621239,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,2,2,-26.112885,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,3,3,24.315349,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,4,4,-54.466253,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,5,5,54.413975,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_0,0,6,6,-0.823312,False,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,0,0,13.728215,True,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,1,1,81.704121,True,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,2,2,-21.537049,True,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,3,3,21.313417,True,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,4,4,-47.684371,True,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,5,5,80.875454,True,0.561
14,0,13-May-2018,1,1,11,Sub14_Trial11_1,1,6,6,-63.034151,True,0.561
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,0,0,-22.96438,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,1,1,-15.815877,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,2,2,43.249785,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,3,3,-112.521688,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,4,4,28.205132,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,5,5,120.160963,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_0,0,6,6,102.668485,False,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,0,0,142.355793,True,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,1,1,17.767408,True,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,2,2,49.645438,True,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,3,3,-53.370032,True,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,4,4,166.822366,True,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,5,5,-10.645854,True,0.722
14,0,13-May-2018,1,1,12,Sub14_Trial12_1,1,6,6,-133.811736,True,0.722
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,0,0,60.028309,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,1,1,116.354192,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,2,2,36.834257,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,3,3,-165.298502,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,4,4,-47.777096,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,5,5,54.622481,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_0,0,6,6,84.666945,True,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,0,0,52.948541,False,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,1,1,16.761941,False,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,2,2,-63.816415,False,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,3,3,47.308155,False,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,4,4,26.009257,False,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,5,5,50.561842,False,0.895
14,0,13-May-2018,1,1,13,Sub14_Trial13_1,1,6,6,94.814489,False,0.895
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,0,0,-39.820695,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,1,1,-67.556022,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,2,2,-130.7224,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,3,3,-12.160426,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,4,4,-15.194204,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,5,5,-11.697392,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_0,0,6,6,63.876412,False,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,0,0,-30.273941,True,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,1,1,-149.618039,True,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,2,2,46.1156,True,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,3,3,64.509799,True,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,4,4,-43.126415,True,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,5,5,10.446555,True,2.655
14,0,13-May-2018,1,1,14,Sub14_Trial14_1,1,6,6,50.725316,True,2.655
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,0,0,2.308286,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,1,1,-33.897986,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,2,2,-63.295472,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,3,3,-30.528037,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,4,4,-53.935532,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,5,5,21.529282,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_0,0,6,6,-20.115758,False,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,0,0,22.054329,True,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,1,1,-5.337469,True,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,2,2,56.244529,True,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,3,3,128.099734,True,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,4,4,52.678841,True,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,5,5,197.238452,True,0.904
14,0,13-May-2018,1,1,15,Sub14_Trial15_1,1,6,6,170.961149,True,0.904
14,0,13-May-2018,1,1,16,Sub14_Trial16_0,0,0,0,28.063794,True,0.818
14,0,13-May-2018,1,1,16,Sub14_Trial16_0,0,1,1,150.872163,True,0.818
14,0,13-May-2018,1,1,16,Sub14_Trial16_0,0,2,2,-143.68182,True,0.818
14,0,13-May-2018,1,1,16,Sub14_Trial16_0,0,3,3,59.983341,True,0.818
14,0,13-May-2018,1,1,16,Sub14_Trial16_0,0,4,4,86.669073,True,0.818
14,0,13-May-2018,1,1,16,Sub14_Trial16_0,0,5,5,-83.999843,True,0.818
