subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,2,2,114.451709,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,3,3,-47.434290000000004,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,4,4,-107.751268,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,5,5,-58.10006899999999,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_0,0,6,6,20.797151,True,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,0,0,35.186803,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,1,1,46.295486,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,2,2,-16.536783,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,3,3,25.733269,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,4,4,-14.25381,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,5,5,29.612409999999997,False,3.727
3,5,1,m,20,23-May-2016,Sub3_Trial5_1,1,6,6,-9.070895,False,3.727
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,0,0,27.206903,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,1,1,122.06783,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,2,2,24.387069,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,3,3,-84.936624,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,4,4,9.335846,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,5,5,26.75788,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_0,0,6,6,48.626628,False,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,0,0,-47.046292,True,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,1,1,-57.107286,True,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,2,2,54.30287799999999,True,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,3,3,-76.506501,True,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,4,4,-10.742733,True,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,5,5,19.429716,True,2.941
3,6,1,m,20,23-May-2016,Sub3_Trial6_1,1,6,6,65.143134,True,2.941
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,0,0,-82.644991,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,1,1,39.738999,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,2,2,-43.653737,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,3,3,26.092736000000002,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,4,4,55.640963,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,5,5,48.085465,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_0,0,6,6,93.226336,False,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,0,0,-89.930659,True,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,1,1,116.367479,True,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,2,2,-65.340853,True,3.919
