subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,0,0,-75.940556,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,1,1,-42.268875,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,2,2,-75.691095,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,3,3,-52.558728,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,4,4,14.89904,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,5,5,138.321032,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_0,0,6,6,6.190004,True,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,0,0,-79.742119,False,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,1,1,-22.813364,False,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,2,2,8.136647,False,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,3,3,8.71255,False,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,4,4,-83.370204,False,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,5,5,-59.499148,False,3.032
5,1,1,m,20,23-May-2016,Sub5_Trial1_1,1,6,6,-4.384651,False,3.032
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,0,0,91.69191,False,1.573
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,1,1,-79.293343,False,1.573
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,2,2,37.640343,False,1.573
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,3,3,-60.445027,False,1.573
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,4,4,-13.802919,False,1.573
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,5,5,18.920990000000003,False,1.573
5,2,1,m,20,23-May-2016,Sub5_Trial2_0,0,6,6,50.92550800000001,False,1.573
