subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,0,0,-60.582762,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,1,1,-12.357388,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,2,2,55.399124,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,3,3,-93.240309,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,4,4,27.394751999999997,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,5,5,-101.43681,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_0,0,6,6,23.345758000000004,True,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,0,0,31.617559,False,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,1,1,-9.119926,False,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,2,2,12.858237,False,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,3,3,-33.330711,False,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,4,4,60.341513,False,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,5,5,-95.318613,False,5.588
1,1,1,m,20,23-May-2016,Sub1_Trial1_1,1,6,6,31.852069,False,5.588
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,0,0,38.694834,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,1,1,72.736346,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,2,2,-78.234708,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,3,3,88.24611,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,4,4,46.21002,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,5,5,-4.750588999999998,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_0,0,6,6,-13.665484,False,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,0,0,-15.232445,True,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,1,1,-21.217533,True,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,2,2,1.613194,True,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,3,3,3.590325,True,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,4,4,57.82439500000001,True,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,5,5,106.888368,True,2.759
1,2,1,m,20,23-May-2016,Sub1_Trial2_1,1,6,6,32.68401,True,2.759
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,0,0,12.825908,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,1,1,-72.083728,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,2,2,66.445528,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,3,3,21.494334,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,4,4,9.462246,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,5,5,36.067243,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_0,0,6,6,18.298443,False,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,0,0,-65.904004,True,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,1,1,-11.363637,True,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,2,2,-10.223824,True,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,3,3,-37.240796,True,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,4,4,117.747252,True,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,5,5,-61.301054,True,2.363
1,3,1,m,20,23-May-2016,Sub1_Trial3_1,1,6,6,-33.867054,True,2.363
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,0,0,-13.456766000000002,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,1,1,-19.184916,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,2,2,107.105076,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,3,3,-17.431731999999997,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,4,4,-74.494939,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,5,5,112.242011,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_0,0,6,6,86.42754,False,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,0,0,-16.073852,True,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,1,1,-105.431179,True,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,2,2,-31.123947,True,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,3,3,-10.915873,True,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,4,4,19.324777999999995,True,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,5,5,-18.281455,True,2.396
1,4,1,m,20,23-May-2016,Sub1_Trial4_1,1,6,6,31.039534000000003,True,2.396
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,0,0,-66.357265,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,1,1,-51.877427,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,2,2,-35.547229,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,3,3,-22.440285,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,4,4,0.872833,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,5,5,86.971388,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_0,0,6,6,-31.991025,True,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,0,0,-74.669098,False,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,1,1,65.360971,False,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,2,2,24.52247,False,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,3,3,-2.0304029999999997,False,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,4,4,12.771652,False,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,5,5,-109.553921,False,1.653
1,5,1,m,20,23-May-2016,Sub1_Trial5_1,1,6,6,-5.917763999999998,False,1.653
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,0,0,2.896152999999998,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,1,1,-51.391838,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,2,2,-2.156960999999999,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,3,3,16.264291,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,4,4,29.847128999999995,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,5,5,-26.096612,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_0,0,6,6,-16.551821,True,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,0,0,141.658362,False,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,1,1,-19.464490999999995,False,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,2,2,29.590098,False,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,3,3,23.629459,False,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,4,4,70.004257,False,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,5,5,-116.491513,False,1.818
1,6,1,m,20,23-May-2016,Sub1_Trial6_1,1,6,6,-41.302419,False,1.818
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,0,0,-84.899304,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,1,1,4.633303,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,2,2,45.664912,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,3,3,22.894198,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,4,4,75.784345,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,5,5,70.425398,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_0,0,6,6,-45.563542,False,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,0,0,17.993931000000003,True,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,1,1,-66.106446,True,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,2,2,-92.525196,True,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,3,3,64.737815,True,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,4,4,0.003488999999998299,True,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,5,5,-3.8443240000000003,True,1.358
1,7,1,m,20,23-May-2016,Sub1_Trial7_1,1,6,6,63.778909,True,1.358
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,0,0,87.517586,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,1,1,65.085262,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,2,2,16.783428,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,3,3,-48.325277,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,4,4,-45.608755,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,5,5,83.447131,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_0,0,6,6,-112.828127,False,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,0,0,-1.7123360000000005,True,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,1,1,-136.419302,True,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,2,2,71.434861,True,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,3,3,60.32014100000001,True,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,4,4,0.08134599999999992,True,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,5,5,-4.958605,True,0.901
1,8,1,m,20,23-May-2016,Sub1_Trial8_1,1,6,6,40.682063,True,0.901
1,9,1,m,20,23-May-2016,Sub1_Trial9_0,0,0,0,5.5953599999999994,False,0.849
1,9,1,m,20,23-May-2016,Sub1_Trial9_0,0,1,1,-66.393669,False,0.849
