subj,patient,date,session,part,trial,stim,stim_order,segment,segment_time,pitch,response,rt
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,0,0,-70.0744,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,1,1,4.614287,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,2,2,3.266386,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,3,3,-57.795647,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,4,4,4.280881,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,5,5,-29.820431,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_0,0,6,6,43.599106,False,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,0,0,41.556061,True,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,1,1,-68.675577,True,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,2,2,12.156992,True,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,3,3,27.800609,True,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,4,4,125.44429,True,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,5,5,17.549051,True,11.739
19,0,19-May-2018,1,1,1,Sub19_Trial1_1,1,6,6,-112.774622,True,11.739
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,0,0,16.852315,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,1,1,0.019453,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,2,2,-29.419152,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,3,3,94.537798,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,4,4,35.23665,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,5,5,131.03011,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_0,0,6,6,190.894373,True,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,0,0,-35.31055,False,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,1,1,-68.112808,False,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,2,2,136.888502,False,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,3,3,-37.738966,False,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,4,4,125.663542,False,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,5,5,15.393242,False,3.577
19,0,19-May-2018,1,1,2,Sub19_Trial2_1,1,6,6,-50.56461,False,3.577
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,0,0,70.294195,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,1,1,-72.747194,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,2,2,95.786745,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,3,3,11.318377,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,4,4,68.863964,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,5,5,53.816473,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_0,0,6,6,106.095635,True,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_1,1,0,0,-65.990597,False,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_1,1,1,1,-21.240902,False,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_1,1,2,2,-20.426507,False,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_1,1,3,3,6.903112,False,1.046
19,0,19-May-2018,1,1,3,Sub19_Trial3_1,1,4,4,62.253672,False,1.046
