subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,0,0,37.425208,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,1,1,0.2752279999999985,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,2,2,-31.830804,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,3,3,97.664219,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,4,4,-33.526124,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,5,5,-50.688715,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_0,0,6,6,-1.4061090000000007,True,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,0,0,128.285327,False,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,1,1,74.768218,False,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,2,2,-83.762811,False,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,3,3,27.748143,False,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,4,4,58.690594000000004,False,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,5,5,-43.153984,False,29.099
4,1,1,m,20,23-May-2016,Sub4_Trial1_1,1,6,6,-49.087307,False,29.099
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,0,0,-141.80225,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,1,1,-53.035104,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,2,2,43.276729,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,3,3,-39.209361,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,4,4,99.711543,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,5,5,-95.348174,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_0,0,6,6,1.8385309999999997,False,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,0,0,-42.161092,True,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,1,1,-2.316521999999999,True,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,2,2,-16.454373000000004,True,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,3,3,-62.933716000000004,True,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,4,4,-12.182281000000003,True,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,5,5,81.403302,True,5.515
4,2,1,m,20,23-May-2016,Sub4_Trial2_1,1,6,6,-46.926004000000006,True,5.515
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,0,0,31.903954,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,1,1,-12.499971000000002,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,2,2,43.77659,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,3,3,23.882924,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,4,4,58.790743,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,5,5,51.906062,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_0,0,6,6,40.556576,False,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,0,0,113.19803100000001,True,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,1,1,-7.263534,True,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,2,2,17.154115000000004,True,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,3,3,-27.741945,True,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,4,4,21.556521000000004,True,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,5,5,-17.908015,True,12.613
4,3,1,m,20,23-May-2016,Sub4_Trial3_1,1,6,6,-71.72955,True,12.613
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,0,0,26.386164,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,1,1,-17.224491,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,2,2,-21.654747,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,3,3,87.665466,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,4,4,20.777681,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,5,5,-39.719715,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_0,0,6,6,-19.034926999999996,False,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_1,1,0,0,-4.8275369999999995,True,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_1,1,1,1,-61.281232,True,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_1,1,2,2,-9.343243,True,2.576
4,4,1,m,20,23-May-2016,Sub4_Trial4_1,1,3,3,140.603283,True,2.576
