subj,patient,date,session,part,trial,stim,stim_order,segment,segment_time,pitch,response,rt
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,0,0,-102.347385,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,1,1,-17.260557,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,2,2,75.52847,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,3,3,-34.321155,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,4,4,-172.152016,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,5,5,16.309243,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_0,0,6,6,57.623626,False,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,0,0,-15.111725,True,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,1,1,-107.882794,True,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,2,2,3.445963,True,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,3,3,42.53106,True,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,4,4,29.431456,True,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,5,5,-50.623102,True,52.805
35,0,25-Feb-2018,1,1,1,Sub35_Trial1_1,1,6,6,-150.314361,True,52.805
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,0,0,116.443246,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,1,1,-13.01735,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,2,2,-157.611926,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,3,3,46.196871,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,4,4,-101.718151,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,5,5,-173.640221,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_0,0,6,6,-34.100008,False,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,0,0,133.446629,True,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,1,1,-24.180231,True,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,2,2,-118.906853,True,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,3,3,37.008938,True,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,4,4,23.846562,True,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,5,5,-22.197217,True,7.685
35,0,25-Feb-2018,1,1,2,Sub35_Trial2_1,1,6,6,63.497041,True,7.685
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,0,0,-64.86404,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,1,1,40.072397,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,2,2,73.926308,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,3,3,-19.914909,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,4,4,30.316455,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,5,5,-30.487944,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_0,0,6,6,-33.245417,False,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,0,0,84.813657,True,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,1,1,4.938723,True,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,2,2,-100.89577,True,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,3,3,197.326346,True,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,4,4,51.880037,True,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,5,5,-5.697749,True,1.444
35,0,25-Feb-2018,1,1,3,Sub35_Trial3_1,1,6,6,119.413072,True,1.444
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,0,0,-56.708988,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,1,1,-3.675125,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,2,2,-74.052179,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,3,3,135.15722,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,4,4,-58.01309,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,5,5,85.794999,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_0,0,6,6,-25.541488,False,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,0,0,-72.863634,True,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,1,1,8.835247,True,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,2,2,-145.414109,True,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,3,3,150.971096,True,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,4,4,65.246383,True,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,5,5,23.920705,True,3.897
35,0,25-Feb-2018,1,1,4,Sub35_Trial4_1,1,6,6,89.069659,True,3.897
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,0,0,-4.296675,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,1,1,-31.713561,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,2,2,15.782539,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,3,3,98.156585,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,4,4,-63.783939,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,5,5,2.906307,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_0,0,6,6,-142.046064,False,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,0,0,-16.210452,True,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,1,1,-38.542262,True,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,2,2,-58.393914,True,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,3,3,-93.848678,True,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,4,4,56.608269,True,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,5,5,116.423832,True,0.982
35,0,25-Feb-2018,1,1,5,Sub35_Trial5_1,1,6,6,10.693353,True,0.982
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,0,0,79.585904,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,1,1,50.757059,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,2,2,-17.356437,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,3,3,-19.554316,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,4,4,-132.107478,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,5,5,-3.658115,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_0,0,6,6,-79.975615,False,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,0,0,-82.730655,True,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,1,1,-36.581236,True,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,2,2,-63.615579,True,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,3,3,60.532208,True,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,4,4,41.664391,True,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,5,5,13.58177,True,1.449
35,0,25-Feb-2018,1,1,6,Sub35_Trial6_1,1,6,6,-14.001828,True,1.449
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,0,0,55.694431,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,1,1,-70.026112,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,2,2,32.214191,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,3,3,43.067593,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,4,4,-11.112189,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,5,5,6.582614,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_0,0,6,6,26.538345,False,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_1,1,0,0,1.036916,True,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_1,1,1,1,53.999953,True,3.828
35,0,25-Feb-2018,1,1,7,Sub35_Trial7_1,1,2,2,5.271608,True,3.828
