subj,trial,block,date,stim,stim_order,response,rt,age,sex,param_index,segment_time,pitch
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,0,0.000000,7.537788
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,1,0.071043,138.761382
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,2,0.142086,88.970452
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,3,0.213129,-106.980409
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,4,0.284172,-72.334155
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,5,0.355215,87.356426
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_185.wav,0,False,1259,52,Homme,6,0.426259,90.917936
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,0,0.000000,-30.664010
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,1,0.071043,2.060872
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,2,0.142086,-136.256691
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,3,0.213129,20.654546
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,4,0.284172,41.179386
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,5,0.355215,1.343346
20111971,3,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_199.wav,1,True,1259,52,Homme,6,0.426259,140.228288
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,0,0.000000,-99.731768
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,1,0.071043,-42.486722
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,2,0.142086,49.610636
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,3,0.213129,-115.961177
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,4,0.284172,-68.693255
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,5,0.355215,105.434903
